filename,basename,genre_selfascription,genre
gottschedin-das-testament.xml,gottschedin-das-testament,Ein deutsches Lustspiel in fünf Aufzügen,Lustspiel
zschokke-abellino.xml,zschokke-abellino,Schauspiel in 5 Aufzügen,
hauptmann-florian-geyer.xml,hauptmann-florian-geyer,Die Tragödie des Bauernkrieges,Tragödie
costenoble-die-katze-laesst-das-mausen-nicht.xml,costenoble-die-katze-laesst-das-mausen-nicht,Lustspiel in einem Aufzuge. Fortsetzung des Bauerngutes,Lustspiel
kraus-traumstueck.xml,kraus-traumstueck,,
schaefer-faustine-der-weibliche-faust.xml,schaefer-faustine-der-weibliche-faust,Tragödie in sechs Aufzügen nebst Vorspiel und Prolog,Tragödie
bodmer-odoardo-galotti-vater-der-emilia.xml,bodmer-odoardo-galotti-vater-der-emilia,"Ein Pendant zu Emilia. In einem Aufzuge und Epilogus zur Emilia
          Galotti",
lessing-der-misogyn.xml,lessing-der-misogyn,Ein Lustspiel in drei Aufzügen,Lustspiel
wolf-professor-mamlock.xml,wolf-professor-mamlock,Ein Schauspiel,
kleist-amphitryon.xml,kleist-amphitryon,Ein Lustspiel nach Molière,Lustspiel
gerhaeuser-der-moloch.xml,gerhaeuser-der-moloch,Musikalische Tragödie in drei Aufzügen,Tragödie
wagner-das-rheingold.xml,wagner-das-rheingold,,
hartleben-hanna-jagert.xml,hartleben-hanna-jagert,Komödie,Komödie
scheerbart-die-urgrossmutter.xml,scheerbart-die-urgrossmutter,Eine Tragi-Komödie in einem Aufzuge,Tragikomödie
ertler-anna-iwanowna.xml,ertler-anna-iwanowna,"Ein Schauspiel in drei Akten und einem Vorspiel als Oper vertont von
          Konrad Steckl",
werner-der-vierundzwanzigste-februar.xml,werner-der-vierundzwanzigste-februar,Eine Tragödie in einem Akt,Tragödie
wagner-voltaire-am-abend-seiner-apotheose.xml,wagner-voltaire-am-abend-seiner-apotheose,Aus dem Französischen,
hensler-die-teufelsmuehle-am-wienerberg.xml,hensler-die-teufelsmuehle-am-wienerberg,Ein österreichisches Volksmährchen mit Gesang in vier Aufzügen,
huber-die-torte.xml,huber-die-torte,Ein Lustspiel für Kinder in einem Aufzuge,Lustspiel
alexander-die-verpfaendung.xml,alexander-die-verpfaendung,Ein Schauspiel in einem Aufzuge,
gasser-ramirus.xml,gasser-ramirus,in einem Aufzuge,
benedix-doctor-wespe.xml,benedix-doctor-wespe,Lustspiel in fünf Aufzügen,Lustspiel
hebbel-der-diamant.xml,hebbel-der-diamant,Eine Komödie in fünf Akten,Komödie
goethe-das-jahrmarktsfest-zu-plundersweilern.xml,goethe-das-jahrmarktsfest-zu-plundersweilern,Ein Schönbartspiel,
lessing-die-alte-jungfer.xml,lessing-die-alte-jungfer,Ein Lustspiel in drei Aufzügen,Lustspiel
iffland-die-jaeger.xml,iffland-die-jaeger,Ein ländliches Sittengemälde in fünf Aufzügen,
rubiner-die-gewaltlosen.xml,rubiner-die-gewaltlosen,Drama in vier Akten,
lessing-minna-von-barnhelm.xml,lessing-minna-von-barnhelm,Ein Lustspiel in fünf Aufzügen,Lustspiel
grillparzer-der-gastfreund.xml,grillparzer-der-gastfreund,Trauerspiel in einem Aufzuge,Trauerspiel
beer-der-paria.xml,beer-der-paria,Trauerspiel in einem Aufzuge,Trauerspiel
hofmannsthal-die-frau-im-fenster.xml,hofmannsthal-die-frau-im-fenster,,
muellner-der-neun-und-zwanzigste-februar.xml,muellner-der-neun-und-zwanzigste-februar,Trauerspiel in einem Akt,Trauerspiel
muehsam-judas.xml,muehsam-judas,Arbeiterdrama in fünf Akten,
hillern-guten-abend.xml,hillern-guten-abend,Dramatischer Scherz in einem Act,
brawe-der-freygeist.xml,brawe-der-freygeist,Ein Trauerspiel in fünf Aufzügen,Trauerspiel
kotzebue-der-arme-poet.xml,kotzebue-der-arme-poet,Ein Schauspiel in Einem Akt,
ebner-eschenbach-die-selbstsuechtigen.xml,ebner-eschenbach-die-selbstsuechtigen,Lustspiel in drei Aufzügen,Lustspiel
meisl-orpheus-und-euridice.xml,meisl-orpheus-und-euridice,Eine mythologische Karrikatur in zwey Acten in Knittelreimen,
wolf-cyankali.xml,wolf-cyankali,Ein Schauspiel,
gottschedin-der-witzling.xml,gottschedin-der-witzling,Ein deutsches Nachspiel in einem Aufzuge,
freisleben-der-weihnachtstag.xml,freisleben-der-weihnachtstag,"Drama in Einem Aufzuge. Bearbeitet nach einer Schreckensscene aus der
          wirklichen Welt",
gellert-die-zaertlichen-schwestern.xml,gellert-die-zaertlichen-schwestern,Ein Lustspiel in drei Aufzügen,Lustspiel
hartleben-rosenmontag.xml,hartleben-rosenmontag,Eine Offiziers-Tragödie,Tragödie
kotzebue-der-schutzgeist.xml,kotzebue-der-schutzgeist,Eine dramatische Legende in sechs Akten nebst einem Vorspiel,
holz-jerschke-traumulus.xml,holz-jerschke-traumulus,Tragische Komödie,Tragikomödie
lasker-schueler-die-wupper.xml,lasker-schueler-die-wupper,Schauspiel in fünf Aufzügen,
hauptmann-gabriel-schillings-flucht.xml,hauptmann-gabriel-schillings-flucht,Drama,
brandes-ino.xml,brandes-ino,Ein Melodrama,
stephanie-doktor-und-apotheker.xml,stephanie-doktor-und-apotheker,Komische Oper in zwei Aufzügen,
hofmannsthal-der-rosenkavalier.xml,hofmannsthal-der-rosenkavalier,Komödie für Musik,Komödie
gryphius-absurda-comica-oder-herr-peter-squentz.xml,gryphius-absurda-comica-oder-herr-peter-squentz,Schimpff-Spiel,
wagner-die-kindermoerderin.xml,wagner-die-kindermoerderin,Ein Trauerspiel,Trauerspiel
hauptmann-die-ratten.xml,hauptmann-die-ratten,Berliner Tragikomödie,Tragikomödie
dohm-vom-stamm-der-asra.xml,dohm-vom-stamm-der-asra,Lustspiel in einem Act,Lustspiel
wildgans-dies-irae.xml,wildgans-dies-irae,Eine Tragödie in fünf Akten,Tragödie
