filename,genre_selfascription,genre
anzengruber-der-pfarrer-von-kirchfeld.xml,Volksstück mit Gesang in vier Akten,
klemm-der-auf-den-parnass-versetzte-gruene-hut.xml,Ein Lustspiel in drey Aufzügen,Lustspiel
bueschel-die-neue-messaline.xml,Trauerspiel in einem Akt,Trauerspiel
baggesen-der-vollendete-faust.xml,Ein dramatisches Gedicht in drei Abtheilungen,
scheerbart-das-gift.xml,Eine Mondschein-Komödie,Komödie
wieland-lady-johanna-gray.xml,Ein Trauerspiel,Trauerspiel
koerner-zriny.xml,Ein Trauerspiel in fünf Aufzügen,Trauerspiel
heiseler-die-kinder-godunofs.xml,Tragödie,Tragödie
iffland-liebe-und-wille.xml,Ein ländliches Gespräch in einer Handlung,
heym-atalanta-oder-die-angst.xml,,
koller-der-zauberstein.xml,Eine Posse in einem Aufzuge. Vierte Fortsetzung der beiden Billets,
chezy-euryanthe.xml,Romantische Oper in drei Aufzügen,
lortzing-zar-und-zimmermann.xml,Komische Oper in drei Aufzügen,
schnitzler-der-gruene-kakadu.xml,Groteske in einem Akt,
schikaneder-die-zauberfloete.xml,Große Oper in zwey Aufzügen,
stramm-erwachen.xml,,
sudermann-stein-unter-steinen.xml,Schauspiel in vier Akten,
hofmannsthal-jedermann.xml,Das Spiel vom Sterben des reichen Mannes,
grillparzer-der-traum-ein-leben.xml,Dramatisches Märchen in vier Aufzügen,
lawaetz-die-diamanten.xml,Ein Schauspiel in einem Aufzuge. (Wahre Geschichte.),
eckartshausen-der-pudelhund.xml,Ein Lustspiel in einem Aufzuge,Lustspiel
